Pozo,YACIMIENTO,ZONA,STATUS2024,Petroleo(bopd),Oil Cum (MSTB),Cum Parinas(MSTB),Cum Verdun (MSTB),Cum Mogollon (MSTB),Cum Talara(MSTB)
2625,VERDUNALTO,E,APA,0.74,8.92,8.9,0,0,0
263,NEGRITOS,O,APA,2.14,20.485,0,0,0,0
2631,ANCHA,E,ATA,0.26,7.843,0,7.8,0,0
2632,ANCHA,E,ATA,0.97,10.53,0,10.5,0,0
2635,VERDUNALTO,E,ATA,0.23,253.679,253.7,0,0,0
2636,VERDUNALTO,E,ATA,0.16,35.742,35.7,0,0,0
2637,LOMITOS,E,DPA,,0,0,0,0,0
2638,LOMITOS,E,PROD,0.58,34.913,0,0,34.9,0
2639,LOMITOS,E,ATA,2.47,1094.63,1094.6,0,0,0
264,NEGRITOS,O,DPA,,0,0,0,0,0
2640,LOMITOS,E,ATA,0.26,75.416,75.4,0,0,0
2641,ANCHA,E,PROD,1.22,31.745,0,31.7,0,0
2644,ANCHA,E,ATA,0.37,81.175,0,81.2,0,0
2645,ANCHA,E,DPA,,0,0,0,0,0
2647,ANCHA,E,ATA,0.48,7.599,0,7.6,0,0
2649,LAGUNITOS,S,ATA,0.48,36.391,0,36.4,0,0
265,NEGRITOS,O,DPA,,0,0,0,0,0
2654,VERDUNALTO,E,ATA,0.68,68.157,68.2,0,0,0
2656,LAGUNITOS,S,DPA,,0,0,0,0,0
2657,ANCHA,E,ATA,0.73,22.525,0,22.5,0,0
2658,ANCHA,E,ATA,0.19,157.776,0,157.8,0,0
265A,NEGRITOS,O,ATA,0.35,34.099,0,0,34.1,0
266,NEGRITOS,O,APA,0.37,19.499,0,0,0,0
2660,RIOVERDE,E,ATA,0.13,167.324,167.3,0,0,0
2661,LOMITOS,E,APA,0.42,12.386,12.4,0,0,0
2662,LOMITOS,E,PROD,1.22,87.927,87.9,0,0,0
2668,LOMITOS,E,PROD,2.19,127.722,0,0,127.7,0
2669,LOMITOS,E,ATA,1,405.572,405.6,0,0,0
267,NEGRITOS,O,DPA,,0,0,0,0,0
2670,LOMITOS,E,ATA,0.6,69.697,69.7,0,0,0
2672,LOMITOS,E,PROD,1.01,53.921,6.6,0,47.3,0
2673,LOMITOS,E,ATA,2.55,68.362,68.4,0,0,0
2674,LOMITOS,E,PROD,1.28,80.32,0,0,80.3,0
2675,ANCHA,E,ATA,1.74,92.304,0,92.3,0,0
2676,ANCHA,E,ATA,1.23,63.223,0,63.2,0,0
2677,ANCHA,E,ATA,0.97,18.554,0,18.6,0,0
2678,ANCHA,E,ATA,0.19,11.246,0,11.2,0,0
268,NEGRITOS,O,APA,0.23,10.25,0,0,10.3,0
2681,LOMITOS,E,ATA,1,28.061,28.1,0,0,0
2682,VERDUNALTO,E,APA,0.87,55.878,55.9,0,0,0
2683,VERDUNALTO,E,APA,0.29,1.781,0,0,1.8,0
2684,VERDUNALTO,E,ATA,1.39,575.637,575.6,0,0,0
2685,LAGUNITOS,S,DPA,,0,0,0,0,0
2686,LOMITOS,E,ATA,0.39,12.233,0,0,12.2,0
2687,LOMITOS,E,ATA,1.61,981.387,981.4,0,0,0
2688,LOMITOS,E,ATA,0.1,101.207,101.2,0,0,0
2689,LOMITOS,E,PROD,0.85,24.331,0,0,24.3,0
269,NEGRITOS,O,APA,295.23,9.152,0,0,9.2,0
2690,LOMITOS,E,ATA,0.1,200.274,200.3,0,0,0
2692,LOMITOS,E,PROD,1.22,101.706,0,0,101.7,0
2693,LOMITOS,E,ATA,0.93,111.087,111.1,0,0,0
2694,LOMITOS,E,DPA,,0,0,0,0,0
2695,SANDINO,E,ATA,1,248.903,248.9,0,0,0
2697,LOMITOS,E,DPA,,0,0,0,0,0
2699,LOMITOS,E,ATA,0.39,37.53,37.5,0,0,0
27,NEGRITOS,O,APA,1286.65,39.886,0,0,0,0
270,NEGRITOS,O,APA,208.65,6.468,0,0,6.5,0
2700,RIOVERDE,E,ATA,1.32,108.245,108.2,0,0,0
2701,RIOVERDE,E,ATA,1.65,80.595,80.6,0,0,0
2702,RIOVERDE,E,PROD,1.72,428.339,369.5,0,58.9,0
2704,VERDUNALTO,E,APA,0.13,25.432,25.4,0,0,0
2705,VERDUNALTO,E,APA,0.52,126.881,126.9,0,0,0
2707,LOMITOS,E,ATA,1.87,92.505,92.5,0,0,0
2708,LOMITOS,E,ATA,1.14,760.174,760.2,0,0,0
271,NEGRITOS,O,ATA,0.32,9.538,0,0,9.5,0
2710,VERDUNALTO,E,ATA,0.17,19.982,0,0,20,0
2714,VERDUNALTO,E,ATA,0.23,106.545,0,0,106.5,0
2717,RIOVERDE,E,ATA,0.45,263.004,263,0,0,0
2718,LOMITOS,E,ATA,0.23,159.141,159.1,0,0,0
2719,LOMITOS,E,ATA,1,370.626,370.6,0,0,0
272,NEGRITOS,O,APA,0.47,19.508,0,0,19.5,0
2723,SILLA,E,DPA,,0,0,0,0,0
2724,ANCHA,E,PROD,1.06,88.451,0,88.5,0,0
2725,RIOVERDE,E,APA,0.06,10.875,10.9,0,0,0
2726,LOMITOS,E,ATA,0.87,46.15,0,0,46.1,0
2727,VERDUNALTO,E,ATA,0.23,5.212,5.2,0,0,0
273,NEGRITOS,O,APA,148.26,4.596,0,0,4.6,0
2730,VERDUNALTO,E,ATA,0.23,49.919,0,0,49.9,0
2731,VERDUNALTO,E,DPA,,0,0,0,0,0
2733,LOMITOS,E,ATA,0.57,184.819,0,0,0,184.8
2734,LOMITOS,E,ATA,0.42,235.389,235.4,0,0,0
2735,LOMITOS,E,ATA,2.13,64.371,0,64.4,0,0
2736,LOMITOS,E,PROD,0.62,85.554,0,0,85.6,0
2738,LOMITOS,E,PROD,0.97,110.744,110.7,0,0,0
2739,VERDUNALTO,E,APA,2.52,86.496,86.5,0,0,0
274,NEGRITOS,O,DPA,,0,0,0,0,0
2740,VERDUNALTO,E,ATA,0.77,155.307,155.3,0,0,0
2741,RIOVERDE,E,ATA,0.58,1352.484,1352.5,0,0,0
2742,LOMITOS,E,ATA,1,118.414,118.4,0,0,0
2744,RIOVERDE,E,ATA,1.48,70.889,70.9,0,0,0
2745,INCA,S,ATA,0.35,111.693,111.7,0,0,0
2748,PUEBLO,S,ATA,1.77,253.059,253.1,0,0,0
275,NEGRITOS,O,APA,0.16,1.369,0,0,1.4,0
2750,LOMITOS,E,ATA,0.35,251.754,251.8,0,0,0
2751,LOMITOS,E,ATA,0.34,109.49,109.5,0,0,0
2754,RIOVERDE,E,DPA,,0,0,0,0,0
2755,VERDUNALTO,E,ATA,0.16,103.225,103.2,0,0,0
2756,LOMITOS,E,PROD,1.06,97.07,52.2,0,0,44.9
2757,LOMITOS,E,ATA,3.1,956.635,956.6,0,0,0
2758,LOMITOS,E,ATA,0.13,86.484,0,0,86.5,0
2759,LOMITOS,E,ATA,0.03,293.786,293.8,0,0,0
276,NEGRITOS,O,APA,0.42,15.431,0,0,15.4,0
2760,VERDUNALTO,E,APA,2.48,8.578,0,0,8.6,0
2762,VERDUNALTO,E,ATA,0.84,79.265,79.3,0,0,0
2763,LOMITOS,E,ATA,2.57,76.663,0,0,76.7,0
2764,SILLA,E,DPA,,0,0,0,0,0
2766,ANCHA,E,DPA,,0,0,0,0,0
2767,RIOVERDE,E,ATA,0.1,33.971,34,0,0,0
2768,LOMITOS,E,ATA,0,24.35,24.4,0,0,0
2769,VERDUNALTO,E,ATA,2.87,130.614,0,0,130.6,0
277,NEGRITOS,O,APA,0.07,10.3,0,0,10.3,0
2770,VERDUNALTO,E,ATA,2.61,97.26,97.3,0,0,0
2771,RIOVERDE,E,ATA,0.35,24.16,24.2,0,0,0
2773,VERDUNALTO,E,PROD,3.3,98.307,0,0,98.3,0
2774,LOMITOS,E,PROD,0.92,110.886,0,0,110.9,0
2775,LOMITOS,E,ATA,5.45,125.787,0,6,119.8,0
2776,ANCHA,E,PROD,1.28,51.175,0,26.8,24.4,0
278,NEGRITOS,O,APA,0.13,32.506,0,0,32.5,0
2780,VERDUNALTO,E,ATA,0.48,260.942,260.9,0,0,0
2781,VERDUNALTO,E,ATA,1.35,33.036,0,0,33,0
2782,ANCHA,E,ATA,0.54,33.831,0,33.8,0,0
2785,LOMITOS,E,APA,0.39,8.569,8.6,0,0,0
2786,LOMITOS,E,PROD,3.19,216.704,0,0,216.7,0
2787,LOMITOS,E,ATA,1.97,393.925,0,0,393.9,0
2788,LOMITOS,E,ATA,0.63,103.408,103.4,0,0,0
2789,LOMITOS,E,ATA,0.63,123.811,123.8,0,0,0
279,NEGRITOS,O,APA,272.39,8.444,0,0,8.4,0
2790,LOMITOS,E,ATA,1.42,69.147,69.1,0,0,0
2791,LOMITOS,E,PROD,1.28,97.68,97.7,0,0,0
2796,LOMITOS,E,ATA,0.71,44.527,44.5,0,0,0
2797,INCA,S,APA,0.7,101.399,101.4,0,0,0
2798,VERDUNALTO,E,ATA,1.97,901.201,901.2,0,0,0
28,NEGRITOS,O,DPA,,0,0,0,0,0
280,NEGRITOS,O,APA,636.16,19.721,0,0,0,0
2803,ANCHA,E,ATA,2.39,26.499,0,26.5,0,0
2807,SIETEVIENTOS,O,ATA,0.06,273.131,273.1,0,0,0
2808,LOMITOS,E,ATA,1.55,214.688,214.7,0,0,0
2809,LOMITOS,E,ATA,1.93,302.607,302.6,0,0,0
281,NEGRITOS,O,APA,0.81,210.509,0,0,0,0
2811,YESO,S,PROD,0,417.215,0,0,417.2,0
2814,LOMITOS,E,ATA,0.06,17.583,0,0,0,17.6
2815,LOMITOS,E,ATA,0.03,31.524,0,0,0,31.5
2816,LOMITOS,E,ATA,0.29,5.964,0,0,0,6
2817,LOMITOS,E,ATA,0.57,10.794,0,0,0,10.8
2818,LOMITOS,E,ATA,1.97,65.251,0,0,0,65.3
2819,LOMITOS,E,ATA,0.14,7.281,0,0,0,7.3
282,NEGRITOS,O,APA,243.45,7.547,0,0,7.5,0
2820,LOMITOS,E,ATA,0.53,673.714,673.7,0,0,0
2821,LOMITOS,E,ATA,0.1,54.914,54.9,0,0,0
2822,LOMITOS,E,ATA,0.06,31.231,31.2,0,0,0
2824,VERDUNALTO,E,ATA,0.21,31.561,31.6,0,0,0
2826,LOMITOS,E,PROD,3.66,280.435,280.4,0,0,0
2827,LOMITOS,E,ATA,1,303.49,303.5,0,0,0
2828,LOMITOS,E,ATA,0.39,10.515,0,0,0,10.5
2829,LOMITOS,E,ATA,0.19,273.39,273.4,0,0,0
283,NEGRITOS,O,APA,0.29,0.865,0,0,0.9,0
2830,LOMITOS,E,APA,0.94,3.613,0,0,0,3.6
2831,LOMITOS,E,PROD,10.33,965.783,965.8,0,0,0
2832,LOMITOS,E,ATA,0.39,28.793,0,0,0,28.8
2833,LOMITOS,E,ATA,0.86,37.2,0,0,0,37.2
2834,LOMITOS,E,ATA,0.42,41.941,0,0,0,41.9
2838,VERDUNALTO,E,ATA,0.87,184.012,184,0,0,0
284,NEGRITOS,O,DPA,,0,0,0,0,0
2840,SIETEVIENTOS,O,ATA,0.4,122.089,122.1,0,0,0
2841,NEGRITOS,O,ATA,0.48,47.954,0,0,48,0
2842,ANCHA,E,PROD,2.55,130.918,0,130.9,0,0
2843,LOMITOS,E,ATA,0.13,8.887,0,0,0,8.9
2845,LOMITOS,E,DPA,,0,0,0,0,0
2848,LOMITOS,E,ATA,0.3,11.726,0,0,0,11.7
285,NEGRITOS,O,APA,0.68,16.524,0,0,16.5,0
2852,LOMITOS,E,ATA,1.48,643.498,643.5,0,0,0
2853,LOMITOS,E,ATA,0.1,136.34,0,0,0,136.3
2854,LOMITOS,E,APA,0.33,6.878,0,0,0,6.9
2855,LOMITOS,E,DPA,,0,0,0,0,0
2856,LOMITOS,E,ATA,0.35,18.538,0,0,0,18.5
2857,LOMITOS,E,ATA,2.23,22.624,0,0,0,22.6
286,NEGRITOS,O,APA,208.65,6.468,0,0,6.5,0
2861,LOMITOS,E,ATA,0.33,22.42,0,0,0,22.4
2862,ANCHA,E,ATA,0.9,78.925,0,78.9,0,0
2865,ANCHA,E,ATA,0,46.753,0,46.8,0,0
2867,VERDUNALTO,E,APA,0.13,139.101,139.1,0,0,0
2869,LOMITOS,E,ATA,0.32,18.382,0,0,0,18.4
287,NEGRITOS,O,APA,0.42,3.183,0,0,3.2,0
2871,ANCHA,E,PROD,0.85,178.078,0,178.1,0,0
2874,ANCHA,E,ATA,0.1,75.785,0,75.8,0,0
2876,ANCHA,E,PROD,1.58,127.516,0,127.5,0,0
2878,LOMITOS,E,ATA,0.07,67.556,67.6,0,0,0
288,NEGRITOS,O,APA,0.1,10.391,0,0,10.4,0
2881,LOMITOS,E,ATA,0.03,47.089,0,0,0,47.1
2883,LOMITOS,E,ATA,0.37,237.636,237.6,0,0,0
2884,LOMITOS,E,ATA,0.35,10.473,0,0,0,10.5
2885,ANCHA,E,ATA,2.42,53.818,0,53.8,0,0
2887,VERDUNALTO,E,ATA,1.17,114.097,114.1,0,0,0
2889,ANCHA,E,ATA,0,31.94,0,31.9,0,0
289,NEGRITOS,O,APA,0.1,39.179,0,0,0,0
2890,LOMITOS,E,DPA,,0,0,0,0,0
2895,ANCHA,E,ATA,1.6,57.312,0,57.3,0,0
2896,ANCHA,E,ATA,0,67.147,0,67.1,0,0
2897,ANCHA,E,PROD,0.28,84.276,0,84.3,0,0
2898,LOMITOS,E,ATA,0.97,524.945,524.9,0,0,0
2899,SIETEVIENTOS,O,ATA,0.83,65.152,65.2,0,0,0
29,NEGRITOS,O,APA,1286.65,39.886,0,0,0,0
290,NEGRITOS,O,APA,0.26,10.19,0,0,10.2,0
2901,VERDUNALTO,E,ATA,,0,0,0,0,0
2903,LOMITOS,E,ATA,0.81,185.503,185.5,0,0,0
2904,ANCHA,E,ATA,4.65,64.148,0,64.1,0,0
2909,LOMITOS,E,APA,0.06,5.214,0,0,5.2,0
291,NEGRITOS,O,ATA,1.39,43.242,0,0,43.2,0
2912,ANCHA,E,ATA,0.03,70.808,0,70.8,0,0
2913,ANCHA,E,ATA,0.03,68.181,0,68.2,0,0
2914,VERDUNALTO,E,ATA,1.84,9.258,9.3,0,0,0
2919,ANCHA,E,ATA,0.48,57.084,0,57.1,0,0
292,NEGRITOS,O,ATA,0.07,25.566,0,0,25.6,0
2921,LOMITOS,E,ATA,1.13,140.724,140.7,0,0,0
2922,LAGUNITOS,S,PROD,0.97,23.511,0,23.5,0,0
2923,LOMITOS,E,ATA,0.17,158.859,158.9,0,0,0
2924,ANCHA,E,ATA,0,47.83,0,47.8,0,0
2925,ANCHA,E,ATA,0,153.339,0,153.3,0,0
2926,YESO,S,PROD,0.13,111.195,0,0,111.2,0
2928,ANCHA,E,ATA,0.9,48.535,0,48.5,0,0
293,NEGRITOS,O,DPA,,0,0,0,0,0
2930,VERDUNALTO,E,DPA,,0,0,0,0,0
2931,LOMITOS,E,ATA,0.07,70.912,70.9,0,0,0
2934,ANCHA,E,ATA,0.63,199.842,0,199.8,0,0
2935,ANCHA,E,ATA,0.48,60.92,0,60.9,0,0
2936,VERDUNALTO,E,ATA,2.06,11.017,11,0,0,0
2939,INCA,S,ATA,3.23,59.553,0,0,59.6,0
294,NEGRITOS,O,APA,0.04,36.811,0,0,0,0
2940,VERDUNALTO,E,DPA,,0,0,0,0,0
2943,VERDUNALTO,E,DPA,,0,0,0,0,0
2944,ANCHA,E,ATA,0.17,41.401,0,41.4,0,0
2946,ANCHA,E,PROD,0.7,269.376,0,269.4,0,0
2947,SIETEVIENTOS,O,ATA,6.61,159.519,159.5,0,0,0
2948,LOMITOS,E,ATA,1,291.176,291.2,0,0,0
295,NEGRITOS,O,ATA,0.61,20.426,0,0,20.4,0
2950,VERDUNALTO,E,DPA,,0,0,0,0,0
2951,ANCHA,E,PROD,1.72,209.195,0,209.2,0,0
2952,INCA,S,ATA,0,71.162,0,0,71.2,0
2954,VERDUNALTO,E,DPA,,0,0,0,0,0
2955,VERDUNALTO,E,ATA,4.1,395.795,395.8,0,0,0
2956,VERDUNALTO,E,DPA,,0,0,0,0,0
2958,INCA,S,ATA,1.19,83.747,0,0,83.7,0
296,NEGRITOS,O,ATA,0.23,41.05,0,0,41,0
2960,ANCHA,E,ATA,5.37,145.367,0,145.4,0,0
2961,ANCHA,E,PROD,0.97,55.692,0,55.7,0,0
2962,LOMITOS,E,ATA,0.87,70.056,70.1,0,0,0
2963,LOMITOS,E,ATA,0.37,71.047,71,0,0,0
2964,SIETEVIENTOS,O,ATA,0.84,51.052,51.1,0,0,0
2965,ANCHA,E,ATA,0.48,32.182,0,32.2,0,0
2966,PUEBLO,S,ATA,0.5,442.139,442.1,0,0,0
2968,SIETEVIENTOS,O,ATA,0,73.603,73.6,0,0,0
297,NEGRITOS,O,DPA,,0,0,0,0,0
2971,ANCHA,E,ATA,0.77,55.786,55.8,0,0,0
2974,SIETEVIENTOS,O,ATA,0.1,52.048,52,0,0,0
2976,ANCHA,E,ATA,0.03,71.164,71.2,0,0,0
2977,INCA,S,PROD,2.52,152.506,0,0,152.5,0
2978,ANCHA,E,ATA,0.63,41.13,0,41.1,0,0
298,NEGRITOS,O,DPA,,0,0,0,0,0
2980,LOMITOS,E,ATA,0.55,105.868,0,0,105.9,0
2983,LOMITOS,E,ATA,0.52,28.109,28.1,0,0,0
2984,INCA,S,ATA,1.87,64.123,0,0,64.1,0
2987,INCA,S,ATA,1,66.515,0,0,66.5,0
2988,ANCHA,E,ATA,4.42,222.094,0,222.1,0,0
2989,LAGUNITOS,S,PROD,3.24,66.022,0,66,0,0
298A,NEGRITOS,O,APA,0.18,10.026,0,0,10,0
299,NEGRITOS,O,APA,0.1,29.974,0,0,30,0
2992,ANCHA,E,ATA,1.97,70.59,0,70.6,0,0
2993,SIETEVIENTOS,O,DPA,,0,0,0,0,0
2995,LOMITOS,E,DPA,,0,0,0,0,0
2996,ANCHA,E,ATA,0.03,60.956,0,61,0,0
2997,INCA,S,ATA,1.61,100.405,0,0,100.4,0
2998,ANCHA,E,ATA,0.55,124.485,0,124.5,0,0
2999,LOMITOS,E,DPA,,0,0,0,0,0
2H,NEGRITOS,O,APA,,0,0,0,0,0
30,NEGRITOS,O,DPA,,0,0,0,0,0
3000,YESO,S,PROD,2.55,74.96,0,0,75,0
3001,ANCHA,E,ATA,1.07,51.846,0,51.8,0,0
3002,ANCHA,E,ATA,6.32,153.035,0,153,0,0
3006,LOMITOS,E,ATA,0.81,103.589,0,0,103.6,0
3007,LOMITOS,E,ATA,0.55,18.67,0,0,18.7,0
3008,INCA,S,ATA,0.52,61.006,0,0,61,0
3009,INCA,S,PROD,2.37,26.044,0,0,26,0
301,NEGRITOS,O,APA,0.74,87.62,0,0,0,0
3012,ANCHA,E,DPA,,0,0,0,0,0
3013,LOMITOS,E,ATA,1,174.85,174.8,0,0,0
3014,INCA,S,ATA,1.55,33.777,0,0,33.8,0
3015,ANCHA,E,ATA,1.03,71.251,0,71.3,0,0
3016,LOMITOS,E,ATA,0.52,353.75,353.8,0,0,0
302,NEGRITOS,O,ATA,0.58,45.209,0,0,45.2,0
3020,ANCHA,E,PROD,0.7,148.265,0,148.3,0,0
3021,ANCHA,E,PROD,0.47,71.682,0,71.7,0,0
3022,INCA,S,PROD,5.02,96.77,0,0,96.8,0
3023,INCA,S,ATA,0.39,27.928,0,0,27.9,0
3024,ANCHA,E,PROD,1.22,179.818,0,179.8,0,0
3026,INCA,S,ATA,0.52,53.704,0,0,53.7,0
3027,INCA,S,ATA,3.17,35.791,0,0,35.8,0
3028,LOMITOS,E,ATA,0.84,37.399,0,0,0,37.4
3029,ANCHA,E,ATA,0.33,23.798,0,23.8,0,0
303,NEGRITOS,O,APA,0.43,10.569,0,0,10.6,0
3030,LOMITOS,E,ATA,0.52,20.413,0,0,0,20.4
3032,LOMITOS,E,APA,1.47,3.412,0,0,3.4,0
3033,ANCHA,E,ATA,0.97,209.242,0,209.2,0,0
3034,ANCHA,E,ATA,0,34.629,0,34.6,0,0
3036,ANCHA,E,ATA,0.63,54.288,0,54.3,0,0
3037,ANCHA,E,PROD,1.95,65.456,0,65.5,0,0
3038,INCA,S,ATA,0.16,52.551,0,0,52.6,0
304,NEGRITOS,O,ATA,8.52,69.708,0,0,0,0
3040,SANJUAN,E,ATA,2.29,126.892,0,0,126.9,0
3043,INCA,S,ATA,0.23,34.053,0,0,34.1,0
3046,ANCHA,E,ATA,1.61,64.394,0,64.4,0,0
3047,LOMITOS,E,ATA,0.1,11.277,11.3,0,0,0
3048,LOMITOS,E,APA,1.58,2.949,0,0,0,2.9
3049,ANCHA,E,PROD,0.12,124.351,0,124.4,0,0
305,NEGRITOS,O,DPA,,0,0,0,0,0
3051,INCA,S,ATA,3.23,23.369,0,0,23.4,0
3052,VERDUNALTO,E,ATA,0.16,44.479,44.5,0,0,0
3053,ANCHA,E,ATA,1.03,49.786,0,49.8,0,0
3055,ANCHA,E,PROD,1.06,104.964,0,105,0,0
3056,YESO,S,PROD,0.33,129.861,0,0,129.9,0
3057,LOMITOS,E,ATA,0.87,30.459,0,0,0,30.5
3058,LAGUNITOS,S,ATA,0,112.736,0,112.7,0,0
306,NEGRITOS,O,APA,0.1,28.702,0,0,28.7,0
3060,SANJUAN,E,DPA,,0,0,0,0,0
3061,ANCHA,E,ATA,2.84,69.491,0,69.5,0,0
3064,INCA,S,ATA,0,75.811,0,0,75.8,0
3066,ANCHA,E,ATA,0.32,182.886,0,182.9,0,0
3067,ANCHA,E,ATA,1.07,17.325,0,17.3,0,0
3068,LOMITOS,E,ATA,0.52,7.214,0,0,0,7.2
3069,LOMITOS,E,ATA,5.2,361.982,362,0,0,0
307,NEGRITOS,O,APA,655.48,20.32,0,0,20.3,0
3070,SANJUAN,E,ATA,19,62.64,0,0,62.6,0
3071,SANJUAN,E,PROD,1.72,110.143,0,0,110.1,0
3072,LOMITOS,E,ATA,0.42,222.97,223,0,0,0
3073,ANCHA,E,PROD,0.64,159.353,0,159.4,0,0
3074,INCA,S,PROD,6.25,57.23,0,0,57.2,0
3077,LOMITOS,E,ATA,1.2,193.868,193.9,0,0,0
3078,ANCHA,E,ATA,0.35,80.757,0,80.8,0,0
3079,ANCHA,E,PROD,0.97,55.965,0,56,0,0
308,NEGRITOS,O,APA,0.07,20.415,0,0,0,0
3081,ANCHA,E,ATA,1.19,74.464,0,74.5,0,0
3083,ANCHA,E,APA,0,34.672,0,34.7,0,0
3084,ANCHA,E,ATA,6.1,125.121,0,125.1,0,0
3085,ANCHA,E,ATA,0.7,184.517,0,184.5,0,0
3086,ANCHA,E,ATA,3.23,205.884,0,205.9,0,0
3087,SANJUAN,E,ATA,1.71,41.654,0,0,41.7,0
3088,ANCHA,E,PROD,0.58,75.964,0,76,0,0
3089,LOMITOS,E,ATA,1.06,267.91,267.9,0,0,0
309,NEGRITOS,O,APA,636.16,19.721,0,0,19.7,0
3091,ANCHA,E,ATA,0.32,22.416,0,22.4,0,0
3092,ANCHA,E,ATA,1,18.2,0,18.2,0,0
3093,ANCHA,E,ATA,2.03,23.981,0,24,0,0
3094,ANCHA,E,ATA,1.5,23.794,0,23.8,0,0
3097,SANJUAN,E,ATA,0.9,40.686,0,0,40.7,0
310,NEGRITOS,O,ATA,0.87,18.253,0,0,18.3,0
3102,ANCHA,E,ATA,1.16,18.476,0,18.5,0,0
3103,ANCHA,E,ATA,0.52,45.327,0,45.3,0,0
3104,ANCHA,E,ATA,3.03,75.864,0,75.9,0,0
3106,ANCHA,E,ATA,0.1,29.653,0,29.7,0,0
3107,ANCHA,E,ATA,0.32,52.827,0,52.8,0,0
3108,ANCHA,E,ATA,0,93.118,0,93.1,0,0
3109,ANCHA,E,ATA,2.17,37.308,0,37.3,0,0
311,NEGRITOS,O,APA,0.1,38.783,0,0,38.8,0
3111,ANCHA,E,ATA,0.1,23.117,0,23.1,0,0
3112,ANCHA,E,ATA,0.9,58.124,0,58.1,0,0
3113,ANCHA,E,ATA,0,118.283,0,118.3,0,0
3114,ANCHA,E,ATA,0.39,134.817,0,134.8,0,0
3115,NEGRITOS,O,APA,1.71,0.053,0,0,0,0
3116,ANCHA,E,PROD,1.71,136.609,0,136.6,0,0
3117,ANCHA,E,PROD,0.97,65.533,0,65.5,0,0
3118,ANCHA,E,ATA,0.9,49.249,0,49.2,0,0
3119,ANCHA,E,PROD,5.16,236.011,0,236,0,0
312,NEGRITOS,O,APA,0.32,28.48,0,0,28.5,0
3120,ANCHA,E,DPA,,0,0,0,0,0
3121,ANCHA,E,PROD,5.16,166.507,0,166.5,0,0
3122,ANCHA,E,ATA,2.93,94.742,0,94.7,0,0
3123,ANCHA,E,PROD,0.97,149.738,0,149.7,0,0
3124,ANCHA,E,ATA,2.48,40.783,0,40.8,0,0
3125,SANJUAN,E,PROD,1.72,351.841,0,0,351.8,0
3126,ANCHA,E,ATA,0.65,57.804,0,57.8,0,0
3127,ANCHA,E,ATA,1.07,49.368,0,49.4,0,0
3128,ANCHA,E,ATA,1.71,33.871,0,33.9,0,0
3129,ANCHA,E,ATA,0,86.959,0,87,0,0
313,NEGRITOS,O,APA,0.06,27.773,0,0,27.8,0
3130,SANJUAN,E,ATA,4.55,50.766,0,0,50.8,0
3131,ANCHA,E,ATA,0.16,21.809,0,21.8,0,0
3132,ANCHA,E,ATA,0.6,55.829,0,55.8,0,0
3133,ANCHA,E,ATA,1.97,135.525,0,135.5,0,0
3134,ANCHA,E,ATA,4,91.747,0,91.7,0,0
3135,INCA,S,ATA,7.39,11.53,0,0,11.5,0
3136,ANCHA,E,ATA,2.55,49.872,0,49.9,0,0
3137,ANCHA,E,ATA,1.32,118.997,0,119,0,0
3138,ANCHA,E,PROD,2.8,317.526,0,317.5,0,0
314,NEGRITOS,O,ATA,0.23,24.076,0,0,24.1,0
3143,SANJUAN,E,ATA,1.63,114.375,0,0,114.4,0
3144,ANCHA,E,ATA,0.84,73.99,0,74,0,0
3145,ANCHA,E,ATA,0.87,67.419,0,67.4,0,0
3146,ANCHA,E,APA,0.74,49.356,0,49.4,0,0
3147,ANCHA,E,PROD,1.98,143.037,0,143,0,0
3148,ANCHA,E,ATA,0.71,91.695,0,91.7,0,0
3149,ANCHA,E,ATA,4,79.56,0,79.6,0,0
315,NEGRITOS,O,APA,0.13,10.348,0,0,10.3,0
3150,ANCHA,E,ATA,0.3,27.393,0,27.4,0,0
3151,ANCHA,E,ATA,2.83,69.495,0,69.5,0,0
3152,ANCHA,E,ATA,3.19,80.707,0,80.7,0,0
3153,ANCHA,E,ATA,1.29,68.098,0,68.1,0,0
3154,ANCHA,E,ATA,1.16,51.524,0,51.5,0,0
3155,ANCHA,E,ATA,3.93,72.962,0,73,0,0
3156,ANCHA,E,APA,0.37,40.518,0,40.5,0,0
3157,ANCHA,E,ATA,3.33,38.361,0,38.4,0,0
3158,ANCHA,E,ATA,1.07,22.729,0,22.7,0,0
3159,ANCHA,E,ATA,5.39,30.488,0,30.5,0,0
316,NEGRITOS,O,APA,0.9,59.8,0,0,0,0
3160,ANCHA,E,APA,0.73,25.325,0,25.3,0,0
3161,ANCHA,E,ATA,0.29,140.913,0,140.9,0,0
3162,ANCHA,E,ATA,1.23,31.525,0,31.5,0,0
3163,ANCHA,E,ATA,0.13,36.087,0,36.1,0,0
3164,ANCHA,E,ATA,0.06,35.342,0,35.3,0,0
3165,ANCHA,E,ATA,0.26,85.283,0,85.3,0,0
3166,ANCHA,E,ATA,0.45,68.184,0,68.2,0,0
3167,ANCHA,E,ATA,0,73.451,0,73.5,0,0
3168,ANCHA,E,ATA,1.03,72.725,0,72.7,0,0
3169,ANCHA,E,ATA,1.61,44.214,0,44.2,0,0
317,NEGRITOS,O,APA,0.6,29.938,0,0,29.9,0
3170,ANCHA,E,ATA,0,60.284,0,60.3,0,0
3171,ANCHA,E,ATA,2.13,92.768,0,92.8,0,0
